"Knocked.Gene","plate_well"
"66_MYOC","4_C07"
"18_COL24A1","3_C09"
"18_COL24A1","2_C09"
"18_COL24A1","1_C09"
"40_PDE7B","3_E11"
"40_PDE7B","1_E11"
"66_MYOC","4_B07"
"36_ME3","3_E07"
"36_ME3","1_E07"
"54_ZNF280D","1_G05"
"54_ZNF280D","3_G05"
"40_PDE7B","2_E11"
"66_MYOC","4_D07"
"01_ABCA1","3_B02"
"43_PRSS23","1_F04"
"36_ME3","2_E07"
"54_ZNF280D","2_G05"
"43_PRSS23","3_F04"
"11_ARHGEF12","3_C02"
"35_LMX1B","3_E06"
"14_CAPZA1","1_C05"
"33_KREMEN1","1_E04"
"08_ANGPTL2","2_B09"
"35_LMX1B","2_E06"
"11_ARHGEF12","1_C02"
"33_KREMEN1","3_E04"
"33_KREMEN1","2_E04"
"35_LMX1B","1_E06"
"17_CDH11","3_C08"
"04_ALDH9A1","3_B05"
"01_ABCA1","1_B02"
"28_FMNL2","3_D09"
"17_CDH11","2_C08"
"28_FMNL2","1_D09"
"08_ANGPTL2","3_B09"
"14_CAPZA1","3_C05"
"04_ALDH9A1","1_B05"
"17_CDH11","1_C08"
"04_ALDH9A1","2_B05"
"43_PRSS23","2_F04"
"65_LTBP2","4_B06"
"39_PARD3B","3_E10"
"11_ARHGEF12","2_C02"
"08_ANGPTL2","1_B09"
"60_Human_0007","1_G11"
"12_ATXN2","3_C03"
"31_GNB1L","1_E02"
"14_CAPZA1","2_C05"
"27_FERMT2","3_D08"
"28_FMNL2","2_D09"
"65_LTBP2","4_D06"
"60_Human_0007","3_G11"
"39_PARD3B","2_E10"
"26_FER","3_D07"
"52_TRIOBP","3_G03"
"37_MECOM","3_E08"
"39_PARD3B","1_E10"
"10_ANTXR1","3_B11"
"34_LMO7","3_E05"
"24_ETS1","3_D05"
"65_LTBP2","4_C06"
"24_ETS1","1_D05"
"38_MYOF","3_E09"
"38_MYOF","1_E09"
"13_BCAS3","1_C04"
"67_TEK","4_D08"
"30_GAS7","1_D11"
"47_SPTBN1","3_F08"
"45_RALGPS1","3_F06"
"55_ABO","1_G06"
"26_FER","1_D07"
"37_MECOM","1_E08"
"47_SPTBN1","1_F08"
"48_TES","2_F09"
"27_FERMT2","1_D08"
"48_TES","1_F09"
"10_ANTXR1","2_B11"
"48_TES","3_F09"
"67_TEK","4_B08"
"13_BCAS3","3_C04"
"12_ATXN2","1_C03"
"67_TEK","4_C08"
"51_TNS1","3_G02"
"56_TEX41","1_G07"
"31_GNB1L","3_E02"
"34_LMO7","2_E05"
"45_RALGPS1","1_F06"
"12_ATXN2","2_C03"
"50_TMCO1","3_F11"
"42_PLEKHA7","3_F03"
"60_Human_0007","2_G11"
"01_ABCA1","2_B02"
"05_ANAPC1","3_B06"
"15_CAV1","3_C06"
"26_FER","2_D07"
"25_FBXO32","3_D06"
"25_FBXO32","1_D06"
"56_TEX41","3_G07"
"22_EMCN","1_D03"
"13_BCAS3","2_C04"
"34_LMO7","1_E05"
"20_DGKG","3_C11"
"31_GNB1L","2_E02"
"47_SPTBN1","2_F08"
"24_ETS1","2_D05"
"10_ANTXR1","1_B11"
"52_TRIOBP","1_G03"
"37_MECOM","2_E08"
"45_RALGPS1","2_F06"
"61_Human_0009","4_C02"
"06_ANGPT1","3_B07"
"51_TNS1","1_G02"
"25_FBXO32","2_D06"
"52_TRIOBP","2_G03"
"07_ANGPT2","1_B08"
"27_FERMT2","2_D08"
"05_ANAPC1","1_B06"
"44_PTPRJ","1_F05"
"42_PLEKHA7","1_F03"
"20_DGKG","1_C11"
"57_Human_0001","1_G08"
"06_ANGPT1","2_B07"
"44_PTPRJ","3_F05"
"55_ABO","2_G06"
"07_ANGPT2","2_B08"
"59_Human_0005","2_G10"
"20_DGKG","2_C11"
"55_ABO","3_G06"
"41_PKHD1","3_F02"
"15_CAV1","1_C06"
"59_Human_0005","3_G10"
"46_RUNX2","3_F07"
"05_ANAPC1","2_B06"
"19_CTTNBP2","3_C10"
"41_PKHD1","1_F02"
"07_ANGPT2","3_B08"
"59_Human_0005","1_G10"
"50_TMCO1","1_F11"
"22_EMCN","2_D03"
"38_MYOF","2_E09"
"30_GAS7","2_D11"
"49_TIMP3","3_F10"
"29_FNDC3B","3_D10"
"30_GAS7","3_D11"
"22_EMCN","3_D03"
"21_EFEMP1","1_D02"
"02_ADAMTS6","3_B03"
"51_TNS1","2_G02"
"57_Human_0001","3_G08"
"61_Human_0009","4_D02"
"06_ANGPT1","1_B07"
"57_Human_0001","2_G08"
"44_PTPRJ","2_F05"
"46_RUNX2","2_F07"
"15_CAV1","2_C06"
"29_FNDC3B","1_D10"
"46_RUNX2","1_F07"
"19_CTTNBP2","1_C10"
"21_EFEMP1","3_D02"
"53_TXNRD2","2_G04"
"53_TXNRD2","1_G04"
"56_TEX41","2_G07"
"09_ANKH","3_B10"
"42_PLEKHA7","2_F03"
"23_EMID1","1_D04"
"19_CTTNBP2","2_C10"
"32_KALRN","3_E03"
"53_TXNRD2","3_G04"
"50_TMCO1","2_F11"
"41_PKHD1","2_F02"
"49_TIMP3","1_F10"
"61_Human_0009","4_B02"
"03_AFAP1","1_B04"
"64_GMDS","4_B05"
"23_EMID1","3_D04"
"29_FNDC3B","2_D10"
"32_KALRN","1_E03"
"21_EFEMP1","2_D02"
"09_ANKH","2_B10"
"02_ADAMTS6","1_B03"
"09_ANKH","1_B10"
"03_AFAP1","3_B04"
"23_EMID1","2_D04"
"64_GMDS","4_D05"
"62_CYP1B1","4_B03"
"63_FOXC1","4_D04"
"63_FOXC1","4_B04"
"49_TIMP3","2_F10"
"64_GMDS","4_C05"
"03_AFAP1","2_B04"
"16_CAV2","1_C07"
"62_CYP1B1","4_D03"
"62_CYP1B1","4_C03"
"63_FOXC1","4_C04"
"16_CAV2","3_C07"
"58_Human_0003","1_G09"
"32_KALRN","2_E03"
"02_ADAMTS6","2_B03"
"58_Human_0003","3_G09"
"16_CAV2","2_C07"
"58_Human_0003","2_G09"
"pooled sgRNAs","4_B09"
"pooled sgRNAs","4_B10"
"pooled sgRNAs","4_B11"
"pooled sgRNAs","4_C09"
"pooled sgRNAs","4_C10"
"pooled sgRNAs","4_C11"
"pooled sgRNAs","4_D09"
"pooled sgRNAs","4_D10"
"pooled sgRNAs","4_D11"
